%%
%% Shear-wave velocity data for calss exercise 4
%% of inversion of surface wave phase velocities
%%
%% depth    start vs  true vs   
%% [km]      [km/s]    [km/s]
%%
    0.00    3.3600    3.3600
    5.00    3.3600    3.3600
   10.00    3.3600    3.3600
   15.00    3.3600    3.3600
   18.00    3.3600    3.3600
   18.00    3.3600    3.7500
   20.00    3.3600    3.7500
   20.00    3.7500    3.7500
   25.00    3.7500    3.7500
   30.00    3.7500    3.7500
   30.00    3.7500    4.3618
   35.00    3.7500    4.3582
   35.00    4.4700    4.3582
   40.00    4.4717    4.3584
   45.00    4.4735    4.3580
   55.00    4.4771    4.3611
   65.00    4.4806    4.3687
   80.00    4.4859    4.3848
   95.00    4.4912    4.4014
  110.00    4.4965    4.4160
  125.00    4.5010    4.4290
  140.00    4.5040    4.4390
  160.00    4.5080    4.4540
  180.00    4.5120    4.4720
  200.00    4.5160    4.4890
  230.00    4.5568    4.5568
  260.00    4.6090    4.6090
  290.00    4.6612    4.6612
  330.00    4.7308    4.7308
  370.00    4.8004    4.8004
  410.00    4.8700    4.8700
